topic,wine_id
Topic 35,75609
Topic 36,29690
Topic 36,63520
Topic 36,40545
Topic 36,23849
Topic 36,47118
Topic 36,17084
Topic 36,66110
Topic 36,144589
Topic 36,51171
Topic 36,126269
Topic 36,92913
Topic 36,45849
Topic 36,116463
Topic 36,20866
Topic 36,18768
Topic 36,34620
Topic 36,45253
Topic 36,59225
Topic 36,90133
Topic 36,46593
Topic 36,49286
Topic 36,76316
Topic 36,92911
Topic 36,108452
Topic 36,77794
Topic 37,40626
Topic 37,72317
Topic 37,39746
Topic 37,50439
Topic 37,149635
Topic 37,40964
Topic 37,145423
Topic 37,110589
Topic 37,149210
Topic 37,41156
Topic 37,58492
Topic 37,37092
Topic 37,15726
Topic 37,95021
Topic 37,132307
Topic 37,43581
Topic 37,64492
Topic 37,132786
Topic 37,42783
Topic 37,116657
Topic 37,14434
Topic 37,47269
Topic 37,144213
Topic 37,142113
Topic 37,144242
Topic 38,5124
Topic 38,12570
Topic 38,63475
Topic 38,35196
Topic 38,65714
Topic 38,8775
Topic 38,134277
Topic 38,115854
Topic 38,32852
Topic 38,149635
Topic 38,12145
Topic 38,36032
Topic 38,61317
Topic 38,72317
Topic 38,75958
Topic 38,116258
Topic 38,7460
Topic 38,148114
Topic 38,79296
Topic 38,9982
Topic 38,17880
Topic 38,55458
Topic 38,95105
Topic 38,54384
Topic 38,28215
Topic 39,10830
Topic 39,111407
Topic 39,29286
Topic 39,80592
Topic 39,78283
Topic 39,80559
Topic 39,43350
Topic 39,35383
Topic 39,72896
Topic 39,4629
Topic 39,78967
Topic 39,64958
Topic 39,5201
Topic 39,10752
Topic 39,25019
Topic 39,55118
Topic 39,116175
Topic 39,23099
Topic 39,7113
Topic 39,59768
Topic 39,5710
Topic 39,59790
Topic 39,89392
Topic 39,111702
Topic 39,18098
Topic 40,53978
Topic 40,52544
Topic 40,21713
Topic 40,48697
Topic 40,144374
Topic 40,47681
Topic 40,75346
Topic 40,147574
Topic 40,95214
Topic 40,42582
Topic 40,56706
Topic 40,9346
Topic 40,2429
Topic 40,22638
Topic 40,146025
Topic 40,45813
Topic 40,145724
Topic 40,18830
Topic 40,12570
Topic 40,22645
Topic 40,56877
Topic 40,45408
Topic 40,88797
Topic 40,14630
Topic 40,9765
Topic 41,54313
Topic 41,45849
Topic 41,41275
Topic 41,11108
Topic 41,75609
Topic 41,83932
Topic 41,145761
Topic 41,138434
Topic 41,51086
Topic 41,80789
Topic 41,3115
Topic 41,47027
Topic 41,34047
Topic 41,20156
Topic 41,125617
Topic 41,26518
Topic 41,115111
Topic 41,95143
Topic 41,77417
Topic 41,31144
Topic 41,15904
Topic 41,148674
Topic 41,31162
Topic 41,33244
Topic 41,5667
Topic 42,29697
Topic 42,61636
Topic 42,72317
Topic 42,43902
Topic 42,19291
Topic 42,119299
Topic 42,36309
Topic 42,36032
Topic 42,19949
Topic 42,108650
Topic 42,44608
Topic 42,7460
Topic 42,70905
Topic 42,34125
Topic 42,76524
Topic 42,51045
Topic 42,100788
Topic 42,52432
Topic 42,63472
Topic 42,106002
Topic 42,59494
Topic 42,109540
Topic 42,50413
Topic 42,63475
Topic 42,67601
Topic 43,113002
Topic 43,3618
Topic 43,25643
Topic 43,75958
Topic 43,12574
Topic 43,32698
Topic 43,17209
Topic 43,74211
Topic 43,140168
Topic 43,16081
Topic 43,143154
Topic 43,58597
Topic 43,23476
Topic 43,144663
Topic 43,81671
Topic 43,16297
Topic 43,39766
Topic 43,17801
Topic 43,64014
Topic 43,148946
Topic 43,58492
Topic 43,113868
Topic 43,5265
Topic 43,144842
Topic 43,94784
Topic 44,102254
Topic 44,113864
Topic 44,14327
Topic 44,91163
Topic 44,101167
Topic 44,107165
Topic 44,133774
Topic 44,144842
Topic 44,38855
Topic 44,64207
Topic 44,17666
Topic 44,51978
Topic 44,125039
Topic 44,144267
Topic 44,42207
Topic 44,61993
Topic 44,114382
Topic 44,25681
Topic 44,45274
Topic 44,40360
Topic 44,60657
Topic 44,79375
Topic 44,146776
Topic 44,142059
Topic 44,91636
Topic 45,89392
Topic 45,82700
Topic 45,114387
Topic 45,61314
Topic 45,49242
Topic 45,145496
Topic 45,42781
Topic 45,93804
Topic 45,20807
Topic 45,60707
Topic 45,24080
Topic 45,98430
Topic 45,17258
Topic 45,76240
Topic 45,9311
Topic 45,143411
Topic 45,78365
Topic 45,92590
Topic 45,78053
Topic 45,27689
Topic 45,93494
Topic 45,116477
Topic 45,110753
Topic 45,126999
Topic 45,61394
Topic 46,142331
Topic 46,86604
Topic 46,94190
Topic 46,6730
Topic 46,7506
Topic 46,139129
Topic 46,27445
Topic 46,24114
Topic 46,45831
Topic 46,29674
Topic 46,64976
Topic 46,142350
Topic 46,131413
Topic 46,85992
Topic 46,24995
Topic 46,2572
Topic 46,106563
Topic 46,61444
Topic 46,5531
Topic 46,138188
Topic 46,25709
Topic 46,5647
Topic 46,86904
Topic 46,76173
Topic 46,48482
Topic 47,147081
Topic 47,98733
Topic 47,106588
Topic 47,142340
Topic 47,140
Topic 47,35762
Topic 47,1761
Topic 47,53242
Topic 47,111462
Topic 47,98949
Topic 47,87455
Topic 47,26338
Topic 47,82147
Topic 47,18642
Topic 47,95578
Topic 47,119615
Topic 47,139839
Topic 47,2708
Topic 47,21752
Topic 47,70564
Topic 47,142045
Topic 47,39989
Topic 47,10961
Topic 47,52937
Topic 47,11349
Topic 48,81497
Topic 48,109147
Topic 48,38736
Topic 48,29648
Topic 48,53457
Topic 48,113683
Topic 48,11349
Topic 48,88088
Topic 48,30227
Topic 48,113687
Topic 48,47233
Topic 48,69398
Topic 48,2274
Topic 48,113864
Topic 48,15139
Topic 48,7556
Topic 48,45274
Topic 48,90141
Topic 48,139839
Topic 48,25038
Topic 48,142551
Topic 48,144843
Topic 48,30736
Topic 48,20218
Topic 48,79703
Topic 49,78707
Topic 49,48751
Topic 49,52601
Topic 49,28008
Topic 49,93422
Topic 49,67995
Topic 49,61444
Topic 49,64227
Topic 49,48187
Topic 49,4986
Topic 49,38938
Topic 49,4393
Topic 49,75854
Topic 49,17879
Topic 49,34470
Topic 49,37885
Topic 49,45250
Topic 49,112360
Topic 49,59773
Topic 49,5237
Topic 49,4146
Topic 49,23474
Topic 49,57404
Topic 49,138602
Topic 49,105248
Topic 50,79703
Topic 50,113912
Topic 50,38881
Topic 50,144842
Topic 50,37203
Topic 50,109147
Topic 50,40771
Topic 50,17808
