topic,variety
Topic 77,Pinot Noir
Topic 77,Riesling
Topic 77,Viognier
Topic 77,Arneis
Topic 77,Chardonnay
Topic 77,Cabernet Sauvignon
Topic 77,Pinot Noir
Topic 77,Sangiovese Grosso
Topic 77,Red Blend
Topic 77,Rosé
Topic 77,Chardonnay
Topic 77,Chardonnay
Topic 77,Chardonnay
Topic 77,Red Blend
Topic 77,G-S-M
Topic 77,White Blend
Topic 77,Pinot Noir
Topic 78,Syrah
Topic 78,Chardonnay
Topic 78,Rosé
Topic 78,Pinot Noir
Topic 78,Bordeaux-style Red Blend
Topic 78,Moscato
Topic 78,Pinot Noir
Topic 78,Pinot Noir
Topic 78,Cabernet Sauvignon
Topic 78,Chardonnay
Topic 78,Bordeaux-style Red Blend
Topic 78,Chardonnay
Topic 78,Chardonnay
Topic 78,Pinot Noir
Topic 78,Tempranillo-Cabernet Sauvignon
Topic 78,Port
Topic 78,Riesling
Topic 78,Albariño
Topic 78,Grenache
Topic 78,Rosé
Topic 78,Red Blend
Topic 78,Red Blend
Topic 78,Grüner Veltliner
Topic 78,Chardonnay
Topic 78,Pinot Noir
Topic 79,St. Laurent
Topic 79,Chardonnay
Topic 79,Merlot
Topic 79,Cabernet Sauvignon
Topic 79,White Blend
Topic 79,Bordeaux-style Red Blend
Topic 79,Pinot Gris
Topic 79,Vinhão
Topic 79,Cabernet Sauvignon
Topic 79,Bordeaux-style White Blend
Topic 79,Bordeaux-style Red Blend
Topic 79,Pinot Noir
Topic 79,Portuguese Red
Topic 79,Pinot Noir
Topic 79,Trincadeira
Topic 79,Portuguese Red
Topic 79,Gamay
Topic 79,Chardonnay
Topic 79,Bordeaux-style Red Blend
Topic 79,Cabernet Sauvignon
Topic 79,Pinot Noir
Topic 79,Cabernet Sauvignon
Topic 79,Chardonnay
Topic 79,Chardonnay
Topic 79,Grüner Veltliner
Topic 80,White Blend
Topic 80,Chardonnay
Topic 80,Rhône-style White Blend
Topic 80,Chardonnay
Topic 80,Chardonnay
Topic 80,Roussanne
Topic 80,Chardonnay
Topic 80,Sparkling Blend
Topic 80,Albana
Topic 80,Chardonnay
Topic 80,White Blend
Topic 80,Chardonnay
Topic 80,Assyrtico
Topic 80,Chardonnay
Topic 80,Chardonnay
Topic 80,White Blend
Topic 80,Chardonnay
Topic 80,Grenache Blanc
Topic 80,Sparkling Blend
Topic 80,Cabernet Sauvignon-Merlot
Topic 80,Gewürztraminer
Topic 80,Sparkling Blend
Topic 80,Chardonnay
Topic 80,Syrah
Topic 80,Chardonnay
Topic 81,Champagne Blend
Topic 81,Pinot Noir
Topic 81,Chardonnay
Topic 81,Pinot Gris
Topic 81,Cabernet Sauvignon
Topic 81,Pinot Blanc
Topic 81,Merlot
Topic 81,Gamay
Topic 81,Chardonnay
Topic 81,Chardonnay
Topic 81,Bordeaux-style Red Blend
Topic 81,Rosé
Topic 81,Bordeaux-style Red Blend
Topic 81,White Blend
Topic 81,Cabernet Sauvignon
Topic 81,Bordeaux-style Red Blend
Topic 81,Portuguese White
Topic 81,Syrah
Topic 81,Portuguese Red
Topic 81,Grüner Veltliner
Topic 81,Negrette
Topic 81,Bordeaux-style White Blend
Topic 81,Portuguese Red
Topic 81,Portuguese Red
Topic 81,Bordeaux-style Red Blend
Topic 82,Bordeaux-style Red Blend
Topic 82,Bordeaux-style Red Blend
Topic 82,Red Blend
Topic 82,Bordeaux-style Red Blend
Topic 82,Champagne Blend
Topic 82,Rosé
Topic 82,Loureiro
Topic 82,Portuguese Red
Topic 82,Pinot Noir
Topic 82,Viognier
Topic 82,Portuguese White
Topic 82,Portuguese White
Topic 82,Merlot
Topic 82,Bordeaux-style Red Blend
Topic 82,Chardonnay
Topic 82,White Blend
Topic 82,Pinot Noir
Topic 82,Champagne Blend
Topic 82,Portuguese Red
Topic 82,Portuguese Red
Topic 82,Syrah
Topic 82,Grüner Veltliner
Topic 82,Pinot Noir
Topic 82,Zweigelt
Topic 82,Sauvignon Blanc
Topic 83,Grechetto
Topic 83,Rhône-style White Blend
Topic 83,Sauvignon Blanc
Topic 83,Pinot Noir
Topic 83,Sauvignon Blanc
Topic 83,Pinot Grigio
Topic 83,Riesling
Topic 83,Chardonnay
Topic 83,Pinot Grigio
Topic 83,Riesling
Topic 83,Chardonnay
Topic 83,Nebbiolo
Topic 83,Riesling
Topic 83,Viognier
Topic 83,Portuguese White
Topic 83,Cabernet Sauvignon
Topic 83,Sauvignon Blanc
Topic 83,Riesling
Topic 83,Chenin Blanc
Topic 83,Rhône-style White Blend
Topic 83,Viognier
Topic 83,Chardonnay
Topic 83,Pinot Noir
Topic 83,Port
Topic 83,Sangiovese Grosso
Topic 84,Pinot Noir
Topic 84,Malvasia Istriana
Topic 84,Chardonnay
Topic 84,Chardonnay
Topic 84,Bordeaux-style Red Blend
Topic 84,Pinot Noir
Topic 84,Syrah
Topic 84,Sparkling Blend
Topic 84,Chardonnay
Topic 84,Cabernet Franc
Topic 84,Chardonnay
Topic 84,Silvaner
Topic 84,Chardonnay
Topic 84,Rosé
Topic 84,Sauvignon Blanc
Topic 84,Chardonnay
Topic 84,Pinot Noir
Topic 84,Chardonnay
Topic 84,Chardonnay
Topic 84,Bordeaux-style Red Blend
Topic 84,Tannat-Cabernet
Topic 84,Chardonnay
Topic 84,Chardonnay
Topic 84,Riesling
Topic 84,Traminer
Topic 85,Pinot Noir
Topic 85,Chardonnay
Topic 85,Gewürztraminer
Topic 85,Riesling
Topic 85,Chardonnay
Topic 85,Pinot Noir
Topic 85,Zinfandel
Topic 85,Prugnolo Gentile
Topic 85,Sauvignon Blanc
Topic 85,Pinot Noir
Topic 85,Portuguese Red
Topic 85,Nebbiolo
Topic 85,Chardonnay
Topic 85,Chenin Blanc
Topic 85,Sauvignon Blanc
Topic 85,Chardonnay
Topic 85,Champagne Blend
Topic 85,Portuguese Red
Topic 85,Cabernet Sauvignon
Topic 85,Bordeaux-style Red Blend
Topic 85,Bordeaux-style Red Blend
Topic 85,Cabernet Sauvignon
Topic 85,Grüner Veltliner
Topic 85,Merlot
Topic 85,Red Blend
Topic 86,Mourvèdre
Topic 86,Gamay
Topic 86,Pinot Noir
Topic 86,Port
Topic 86,Syrah
Topic 86,Red Blend
Topic 86,Chardonnay
Topic 86,Cabernet Sauvignon
Topic 86,Viognier
Topic 86,Petite Sirah
Topic 86,Sparkling Blend
Topic 86,Chardonnay
Topic 86,Pinot Noir
Topic 86,Pinot Noir
Topic 86,Tempranillo
Topic 86,Red Blend
Topic 86,Cabernet Sauvignon
Topic 86,Sauvignon Blanc
Topic 86,Portuguese Red
Topic 86,Cabernet Sauvignon
Topic 86,Rhône-style White Blend
Topic 86,Cabernet Sauvignon
Topic 86,Bordeaux-style Red Blend
Topic 86,Bordeaux-style White Blend
Topic 86,Chardonnay
Topic 87,Chardonnay
Topic 87,Vidal Blanc
Topic 87,Chardonnay
Topic 87,Pinot Grigio
Topic 87,Petit Manseng
Topic 87,Sémillon
Topic 87,Viognier
Topic 87,Merlot
Topic 87,Rosé
Topic 87,Chardonnay
Topic 87,Riesling
Topic 87,Rosé
Topic 87,Riesling
Topic 87,Rosé
Topic 87,Grenache
Topic 87,Zinfandel
Topic 87,Chardonnay
Topic 87,White Blend
Topic 87,Chardonnay
Topic 87,Chardonnay
Topic 87,Rosé
Topic 87,Riesling
Topic 87,Chardonnay
Topic 87,Red Blend
Topic 87,Red Blend
Topic 88,Riesling
Topic 88,Cabernet Sauvignon-Syrah
Topic 88,Pinot Blanc
Topic 88,Pinot Noir
Topic 88,Petite Sirah
Topic 88,Chardonnay
Topic 88,Pinot Noir
Topic 88,Port
Topic 88,Pinot Noir
Topic 88,Red Blend
Topic 88,Chardonnay
Topic 88,Barbera
Topic 88,Red Blend
Topic 88,Pinot Noir
Topic 88,Pinot Noir
Topic 88,Tempranillo
Topic 88,G-S-M
Topic 88,Pinot Noir
Topic 88,Tempranillo
Topic 88,Red Blend
Topic 88,Chardonnay
Topic 88,Riesling
Topic 88,Tempranillo Blend
Topic 88,Barbera
Topic 88,Pinot Noir
Topic 89,Greco
Topic 89,Chardonnay
Topic 89,Pinot Gris
Topic 89,Pinot Noir
Topic 89,Chardonnay
Topic 89,Riesling
Topic 89,Müller-Thurgau
Topic 89,Bordeaux-style Red Blend
Topic 89,Viura
Topic 89,Sparkling Blend
Topic 89,Chardonnay
Topic 89,Sauvignon Blanc
Topic 89,Pinot Gris
Topic 89,Riesling
Topic 89,Pinot Gris
Topic 89,Chardonnay-Viognier
Topic 89,Verdejo
Topic 89,Zinfandel
Topic 89,Vespaiolo
Topic 89,Bordeaux-style White Blend
Topic 89,Godello
Topic 89,Pinot Gris
Topic 89,Sauvignon Blanc
Topic 89,Chardonnay
Topic 89,Chenin Blanc
Topic 90,Pinot Noir
Topic 90,Gamay
Topic 90,Chardonnay
Topic 90,Chardonnay
Topic 90,Chardonnay
Topic 90,Bordeaux-style Red Blend
Topic 90,Pinot Noir
Topic 90,Champagne Blend
Topic 90,Petite Sirah
Topic 90,Nebbiolo
Topic 90,Bordeaux-style Red Blend
Topic 90,Cabernet Sauvignon
Topic 90,Pinot Noir
Topic 90,Rhône-style Red Blend
Topic 90,Pinot Noir
Topic 90,Riesling
Topic 90,Malbec
Topic 90,Gewürztraminer
Topic 90,Melon
Topic 90,Godello
Topic 90,Grüner Veltliner
Topic 90,White Blend
Topic 90,Bordeaux-style White Blend
Topic 90,Chardonnay
Topic 90,Tempranillo
Topic 91,Cabernet Sauvignon
Topic 91,Cabernet Sauvignon
Topic 91,Cabernet Sauvignon
Topic 91,Sangiovese Grosso
Topic 91,Sangiovese Grosso
Topic 91,Bordeaux-style Red Blend
Topic 91,Cabernet Sauvignon
Topic 91,Cabernet Sauvignon
Topic 91,Cabernet Sauvignon
Topic 91,Cabernet Blend
Topic 91,Chardonnay
Topic 91,Bordeaux-style Red Blend
Topic 91,Cabernet Sauvignon
Topic 91,Tempranillo-Cabernet Sauvignon
Topic 91,Cabernet Sauvignon
Topic 91,Albariño
Topic 91,Nebbiolo
Topic 91,Bordeaux-style Red Blend
Topic 91,"Corvina, Rondinella, Molinara"
Topic 91,Pinot Noir
Topic 91,Syrah
Topic 91,Sauvignon Blanc
Topic 91,Bordeaux-style Red Blend
Topic 91,Pinot Noir
Topic 91,Cabernet Sauvignon
Topic 92,Sauvignon Blanc
Topic 92,Chardonnay
Topic 92,Sauvignon Blanc
Topic 92,Pinot Noir
Topic 92,Grenache
Topic 92,Bordeaux-style Red Blend
Topic 92,Cabernet Franc
Topic 92,Albana
Topic 92,Sauvignon Blanc
Topic 92,Champagne Blend
Topic 92,Riesling
Topic 92,Chardonnay
Topic 92,Pinot Noir
Topic 92,Chardonnay
Topic 92,Torrontés
Topic 92,Prugnolo Gentile
Topic 92,Sauvignon Blanc
Topic 92,Pinot Noir
Topic 92,Chardonnay
Topic 92,Chardonnay
Topic 92,Cabernet Franc
Topic 92,Riesling
Topic 92,Port
Topic 92,Port
Topic 92,Cabernet Sauvignon
Topic 93,Gewürztraminer
Topic 93,Rhône-style Red Blend
Topic 93,Chardonnay
Topic 93,Bordeaux-style Red Blend
Topic 93,Blaufränkisch
Topic 93,Riesling
Topic 93,Riesling
Topic 93,Grüner Veltliner
Topic 93,Riesling
Topic 93,Bordeaux-style Red Blend
Topic 93,Gewürztraminer
Topic 93,Champagne Blend
Topic 93,Chardonnay
Topic 93,Champagne Blend
Topic 93,Pinot Noir
Topic 93,Bordeaux-style Red Blend
Topic 93,Pinot Gris
Topic 93,Syrah
Topic 93,Sangiovese
Topic 93,Pinot Gris
Topic 93,Champagne Blend
Topic 93,White Blend
Topic 93,Champagne Blend
Topic 93,Merlot
Topic 93,Syrah
Topic 94,Cabernet Sauvignon
Topic 94,Pinot Gris
Topic 94,Pinot Noir
Topic 94,Bordeaux-style Red Blend
Topic 94,Verdejo
Topic 94,Malbec
Topic 94,Cabernet Sauvignon
Topic 94,Syrah
Topic 94,Merlot
Topic 94,Red Blend
Topic 94,Grüner Veltliner
Topic 94,Merlot
Topic 94,Zinfandel
Topic 94,Pinot Noir
Topic 94,Malbec
Topic 94,Red Blend
Topic 94,Bordeaux-style White Blend
Topic 94,Chardonnay
Topic 94,Portuguese White
Topic 94,Pinot Grigio
Topic 94,Pinot Noir
Topic 94,Merlot
Topic 94,Bordeaux-style White Blend
Topic 94,Alvarinho
Topic 94,Pinot Noir
Topic 95,Riesling
Topic 95,Malbec-Cabernet Sauvignon
Topic 95,Cabernet Sauvignon-Syrah
Topic 95,Zinfandel
Topic 95,Pinot Noir
Topic 95,Chardonnay
Topic 95,Pinot Blanc
Topic 95,Nebbiolo
Topic 95,Zinfandel
Topic 95,Sangiovese
Topic 95,Mencía
Topic 95,Pinot Noir
Topic 95,Tempranillo
Topic 95,Rhône-style Red Blend
Topic 95,Bordeaux-style Red Blend
Topic 95,Merlot
Topic 95,Chardonnay
Topic 95,Tinta de Toro
Topic 95,Portuguese Red
Topic 95,Malbec
Topic 95,Chardonnay
Topic 95,Pinot Noir
Topic 95,Grüner Veltliner
Topic 95,Red Blend
Topic 95,Cabernet Sauvignon
Topic 96,Bordeaux-style Red Blend
Topic 96,Riesling
Topic 96,Cabernet Sauvignon
Topic 96,Grüner Veltliner
Topic 96,Sauvignon Blanc
Topic 96,Bordeaux-style Red Blend
Topic 96,Chardonnay
Topic 96,Chardonnay
Topic 96,Sauvignon Blanc
Topic 96,Pinot Noir
Topic 96,Champagne Blend
Topic 96,Bordeaux-style Red Blend
Topic 96,Bordeaux-style Red Blend
Topic 96,Riesling
Topic 96,White Blend
Topic 96,Portuguese Red
Topic 96,Verdelho
Topic 96,Portuguese Red
Topic 96,Riesling
Topic 96,Portuguese Sparkling
Topic 96,Pinot Gris
Topic 96,Portuguese Sparkling
Topic 96,Gewürztraminer
Topic 96,Bordeaux-style Red Blend
Topic 96,Bordeaux-style Red Blend
Topic 97,Sparkling Blend
Topic 97,Sauvignon Blanc
Topic 97,Bordeaux-style Red Blend
Topic 97,Chardonnay
Topic 97,Kekfrankos
Topic 97,Pinot Noir
Topic 97,Cabernet Sauvignon
Topic 97,Syrah
Topic 97,Merlot
Topic 97,Malbec
Topic 97,Tinta de Toro
Topic 97,Portuguese Sparkling
Topic 97,Tempranillo
Topic 97,Pinot Noir
Topic 97,Bordeaux-style Red Blend
Topic 97,Red Blend
Topic 97,Pinot Noir
Topic 97,Cabernet Sauvignon
Topic 97,Sangiovese
Topic 97,Cabernet Sauvignon
Topic 97,Riesling
Topic 97,Pinot Noir
Topic 97,Cabernet Sauvignon
Topic 97,Pinot Noir
Topic 97,Port
Topic 98,Sauvignon Blanc
Topic 98,Pinot Noir
Topic 98,Riesling
Topic 98,Chardonnay
Topic 98,Sauvignon Blanc
Topic 98,Pinot Noir
Topic 98,Chardonnay
Topic 98,Malbec
Topic 98,Chardonnay
Topic 98,Riesling
Topic 98,Champagne Blend
Topic 98,Port
Topic 98,Red Blend
Topic 98,Red Blend
Topic 98,Chardonnay
Topic 98,Red Blend
Topic 98,Cabernet Sauvignon
Topic 98,Petite Sirah
Topic 98,Rosé
Topic 98,Pinot Noir
Topic 98,Portuguese White
Topic 98,Bordeaux-style White Blend
Topic 98,Merlot
Topic 98,Sauvignon Blanc
Topic 98,Merlot
Topic 99,White Blend
Topic 99,Champagne Blend
Topic 99,Bordeaux-style Red Blend
Topic 99,Port
Topic 99,Rosé
Topic 99,Sauvignon Blanc
Topic 99,Pinot Noir
Topic 99,Verdejo
Topic 99,Champagne Blend
Topic 99,White Blend
Topic 99,Bordeaux-style Red Blend
Topic 99,Sauvignon Blanc
Topic 99,Sauvignon Blanc
Topic 99,Rosé
Topic 99,Grenache
Topic 99,Rosé
Topic 99,Chardonnay
Topic 99,Chardonnay
Topic 99,Rosé
Topic 99,"Corvina, Rondinella, Molinara"
Topic 99,Portuguese White
Topic 99,Pinot Noir
Topic 99,Rosé
Topic 99,Cabernet Sauvignon
Topic 99,Pinot Noir
Topic 100,Zinfandel
Topic 100,Chardonnay
Topic 100,Chardonnay
Topic 100,Pinot Grigio
Topic 100,Loureiro
Topic 100,Sauvignon Blanc
Topic 100,Sémillon
Topic 100,Chardonnay
Topic 100,Semillon-Sauvignon Blanc
Topic 100,Verdelho
Topic 100,Sauvignon Blanc
Topic 100,Pinot Noir
Topic 100,Merlot
Topic 100,White Blend
Topic 100,Sauvignon Blanc
Topic 100,Pinot Noir
Topic 100,Viognier
Topic 100,Sparkling Blend
Topic 100,Shiraz
Topic 100,Pinot Noir
Topic 100,Bordeaux-style Red Blend
Topic 100,Pinot Noir
Topic 100,Malbec-Syrah
Topic 100,Nebbiolo
Topic 100,Sauvignon Blanc
Topic 101,Pinot Noir
Topic 101,Pinot Noir
Topic 101,Red Blend
Topic 101,Torrontés
Topic 101,Chardonnay
Topic 101,Cabernet Sauvignon
Topic 101,Red Blend
Topic 101,G-S-M
Topic 101,Cabernet Sauvignon
Topic 101,Rhône-style Red Blend
Topic 101,Cabernet Franc
Topic 101,Portuguese Red
Topic 101,Cabernet Sauvignon
Topic 101,Pinot Grigio
Topic 101,Torrontés
Topic 101,Albariño
Topic 101,Pinot Noir
Topic 101,Syrah
Topic 101,Sauvignon Blanc
Topic 101,Viura
Topic 101,Garnacha
Topic 101,Müller-Thurgau
Topic 101,Chardonnay
Topic 101,Riesling
Topic 101,Cabernet Sauvignon
Topic 102,Bordeaux-style Red Blend
Topic 102,White Blend
Topic 102,Pedro Ximénez
Topic 102,Sparkling Blend
Topic 102,Riesling
Topic 102,Tinta de Toro
Topic 102,Pinot Noir
Topic 102,Sauvignon Blanc
Topic 102,Red Blend
Topic 102,Chardonnay
Topic 102,Bonarda
Topic 102,Viognier
Topic 102,Chardonnay
Topic 102,Chardonnay
Topic 102,Sauvignon Blanc
Topic 102,Bordeaux-style Red Blend
Topic 102,Garganega
Topic 102,Chardonnay
Topic 102,Zinfandel
Topic 102,White Blend
Topic 102,Pinot Noir
Topic 102,Nebbiolo
Topic 102,Primitivo
Topic 102,Pinot Noir
Topic 102,Cabernet Sauvignon
Topic 103,Portuguese White
Topic 103,Rosé
Topic 103,Chardonnay
Topic 103,Rosé
Topic 103,Chardonnay
Topic 103,Tempranillo
Topic 103,Riesling
Topic 103,Cabernet Sauvignon
Topic 103,Sauvignon Blanc
Topic 103,Marsanne
Topic 103,Gewürztraminer
Topic 103,Pinot Noir
Topic 103,Pinot Noir
Topic 103,Sémillon
Topic 103,Müller-Thurgau
Topic 103,Portuguese White
Topic 103,Sauvignon Blanc
Topic 103,Chardonnay
Topic 103,Viura
Topic 103,Chardonnay
Topic 103,White Blend
Topic 103,Chardonnay
Topic 103,Chardonnay
Topic 103,Viognier
Topic 103,Red Blend
Topic 104,Portuguese Red
Topic 104,Pinot Noir
Topic 104,Zinfandel
Topic 104,Shiraz-Viognier
Topic 104,Rhône-style Red Blend
Topic 104,Petite Sirah
Topic 104,Merlot
Topic 104,Red Blend
Topic 104,Xinomavro
Topic 104,Zinfandel
Topic 104,Cabernet Sauvignon
Topic 104,Cabernet Sauvignon
Topic 104,Cabernet Sauvignon
Topic 104,Zinfandel
Topic 104,Cabernet Sauvignon-Syrah
Topic 104,Merlot
Topic 104,Cabernet Franc
Topic 104,Shiraz
Topic 104,Port
Topic 104,Portuguese Red
Topic 104,Merlot
Topic 104,Malbec
Topic 104,Merlot
Topic 104,Syrah
Topic 104,Red Blend
Topic 105,Syrah
Topic 105,Portuguese Red
Topic 105,Bordeaux-style Red Blend
Topic 105,Syrah
Topic 105,Cabernet Franc
Topic 105,Pinot Noir
Topic 105,Sparkling Blend
Topic 105,Red Blend
Topic 105,Syrah
Topic 105,Sauvignon Blanc
Topic 105,Syrah
Topic 105,Merlot
Topic 105,Merlot
Topic 105,Bordeaux-style Red Blend
Topic 105,Red Blend
Topic 105,Zinfandel
Topic 105,Syrah
Topic 105,Malbec
Topic 105,Viura
Topic 105,Chardonnay
Topic 105,Pinot Noir
Topic 105,Sangiovese
Topic 105,Bordeaux-style Red Blend
Topic 105,Pinot Noir
Topic 105,Johannisberg Riesling
Topic 106,Sangiovese
Topic 106,Gamay
Topic 106,Cabernet Sauvignon
Topic 106,Port
Topic 106,Cabernet Sauvignon
Topic 106,Pinot Noir
Topic 106,Agiorgitiko
Topic 106,Rhône-style Red Blend
Topic 106,Merlot
Topic 106,Cabernet Sauvignon
Topic 106,Syrah
Topic 106,Sangiovese
Topic 106,Rosé
Topic 106,Pinot Noir
Topic 106,White Blend
Topic 106,Garnacha
Topic 106,Rosé
Topic 106,Pinot Noir
Topic 106,Gamay
Topic 106,Rosé
Topic 106,Merlot
Topic 106,Tempranillo
Topic 106,Portuguese Red
Topic 106,Sangiovese
Topic 106,Cabernet Sauvignon
Topic 107,Rhône-style White Blend
Topic 107,Roussanne
Topic 107,Pinot Grigio
Topic 107,Champagne Blend
Topic 107,Pinot Noir
Topic 107,Riesling
Topic 107,Carignan
Topic 107,Sauvignon Blanc
Topic 107,Chardonnay
Topic 107,Red Blend
Topic 107,Tempranillo Blend
Topic 107,Tempranillo
Topic 107,Sangiovese
Topic 107,Chardonnay
Topic 107,Viura
Topic 107,Bordeaux-style Red Blend
Topic 107,Rosé
Topic 107,Syrah
Topic 107,Pinot Noir
Topic 107,Carmenère
Topic 107,Malbec
Topic 107,Grüner Veltliner
Topic 107,Malbec
Topic 107,Merlot
Topic 107,Sauvignon Blanc
Topic 108,Gewürztraminer
Topic 108,Rosé
Topic 108,Weissburgunder
Topic 108,Viognier
Topic 108,Riesling
Topic 108,Gewürztraminer
Topic 108,Portuguese White
Topic 108,Pinot Grigio
Topic 108,Cabernet Franc
Topic 108,Bordeaux-style White Blend
Topic 108,Bordeaux-style Red Blend
Topic 108,Bordeaux-style White Blend
Topic 108,Mavrodaphne
Topic 108,Bordeaux-style Red Blend
Topic 108,Red Blend
Topic 108,Sauvignon Blanc
Topic 108,Sparkling Blend
Topic 108,Rosé
Topic 108,Bordeaux-style Red Blend
Topic 108,Riesling
Topic 108,Red Blend
Topic 108,Petit Manseng
Topic 108,Bordeaux-style Red Blend
Topic 108,Muscat
Topic 108,Chardonnay
Topic 109,Vidal
Topic 109,Cabernet Sauvignon
Topic 109,Port
Topic 109,Zinfandel
Topic 109,Barbera
Topic 109,Red Blend
Topic 109,Gewürztraminer-Riesling
Topic 109,Sherry
Topic 109,Sauvignon Blanc
Topic 109,Pinot Noir
Topic 109,Bordeaux-style Red Blend
Topic 109,Gewürztraminer
Topic 109,Pinot Gris
Topic 109,Port
Topic 109,Cabernet Sauvignon
Topic 109,Portuguese White
Topic 109,Sauvignon Blanc
Topic 109,Pinot Noir
Topic 109,Sauvignon Blanc
Topic 109,Cabernet Sauvignon
Topic 109,Pinot Noir
Topic 109,Champagne Blend
Topic 109,Cabernet Sauvignon
Topic 109,Pinot Noir
Topic 109,Bordeaux-style Red Blend
Topic 110,Syrah
Topic 110,Riesling
Topic 110,Rosé
Topic 110,Sparkling Blend
Topic 110,Pinot Noir
Topic 110,Sangiovese Grosso
Topic 110,Portuguese Red
Topic 110,Portuguese White
Topic 110,Sauvignon Blanc
Topic 110,Champagne Blend
Topic 110,Sparkling Blend
Topic 110,Garnacha
Topic 110,Port
Topic 110,White Blend
Topic 110,Chardonnay
Topic 110,Port
Topic 110,Shiraz
Topic 110,Syrah
Topic 110,Rosé
Topic 110,Pinot Grigio
Topic 110,Pinot Noir
Topic 110,Gamay
Topic 110,Pinot Noir
Topic 110,Rosé
Topic 110,Tempranillo
Topic 111,Rosé
Topic 111,Pinot Noir
Topic 111,Champagne Blend
Topic 111,Portuguese White
Topic 111,Meritage
Topic 111,Chardonnay
Topic 111,Pinot Noir
Topic 111,Chenin Blanc
Topic 111,Cabernet Sauvignon
Topic 111,Port
Topic 111,Sauvignon Blanc
Topic 111,Sauvignon Blanc
Topic 111,Cabernet Blend
Topic 111,Rosé
Topic 111,Sauvignon Blanc
Topic 111,Bordeaux-style White Blend
Topic 111,Red Blend
Topic 111,Monastrell
Topic 111,Port
Topic 111,Chardonnay
Topic 111,Red Blend
Topic 111,Bordeaux-style Red Blend
Topic 111,Bordeaux-style Red Blend
Topic 111,Bordeaux-style Red Blend
Topic 111,Portuguese White
Topic 112,Sangiovese
Topic 112,Bordeaux-style Red Blend
Topic 112,Cabernet Sauvignon
Topic 112,Gamay
Topic 112,Merlot
Topic 112,Cabernet Sauvignon
Topic 112,Zinfandel
Topic 112,Barbera
Topic 112,Cabernet Sauvignon
Topic 112,Red Blend
Topic 112,Portuguese Red
Topic 112,Mencía
Topic 112,Zinfandel
Topic 112,Rhône-style White Blend
Topic 112,Grüner Veltliner
Topic 112,Merlot
Topic 112,Bordeaux-style White Blend
Topic 112,Chardonnay
Topic 112,Cabernet Sauvignon
Topic 112,Merlot
Topic 112,Rosé
Topic 112,Pinot Noir
Topic 112,Champagne Blend
Topic 112,Red Blend
Topic 112,Red Blend
Topic 113,Sauvignon Blanc
Topic 113,Cabernet Sauvignon
Topic 113,Torrontés
Topic 113,Sauvignon Blanc
Topic 113,Rosé
Topic 113,Merlot
Topic 113,Rosé
Topic 113,Pinot Noir
Topic 113,Red Blend
Topic 113,Malbec
Topic 113,Chardonnay
Topic 113,Rosé
Topic 113,Nebbiolo
Topic 113,Rosé
Topic 113,Sauvignon Blanc
Topic 113,Chardonnay
Topic 113,Red Blend
Topic 113,Bordeaux-style Red Blend
Topic 113,Cabernet Sauvignon-Syrah
Topic 113,Malbec
Topic 113,Chardonnay
Topic 113,Portuguese White
Topic 113,Cabernet Sauvignon
Topic 113,Rosé
Topic 113,Cabernet Sauvignon
Topic 114,Pinot Noir
Topic 114,Portuguese White
Topic 114,White Blend
Topic 114,Red Blend
Topic 114,Cabernet Sauvignon
Topic 114,Garnacha
Topic 114,Blaufränkisch
Topic 114,Chardonnay-Semillon
Topic 114,Cabernet Sauvignon
Topic 114,Rhône-style White Blend
Topic 114,Pinot Grigio
Topic 114,Mencía
Topic 114,Albariño
Topic 114,Sauvignon Blanc
Topic 114,Tempranillo-Shiraz
Topic 114,Tempranillo
Topic 114,Cabernet Sauvignon
Topic 114,Pinot Noir
Topic 114,Bordeaux-style Red Blend
Topic 114,White Blend
Topic 114,Pinot Noir
Topic 114,Garnacha
Topic 114,Sauvignon Blanc
Topic 114,Xarel-lo
Topic 114,Garganega
Topic 115,Cabernet Sauvignon
Topic 115,Bordeaux-style Red Blend
Topic 115,Pinot Noir
Topic 115,Gamay
Topic 115,Cabernet Sauvignon
Topic 115,Cabernet Sauvignon
Topic 115,Meritage
Topic 115,Cabernet Sauvignon
Topic 115,Cabernet Sauvignon
Topic 115,Merlot
Topic 115,Pinot Noir
Topic 115,Merlot
Topic 115,Pinot Noir
Topic 115,Red Blend
Topic 115,Cabernet Sauvignon
Topic 115,Pinot Noir
Topic 115,Shiraz
Topic 115,Merlot
Topic 115,Merlot
Topic 115,Portuguese White
Topic 115,Pinot Noir
Topic 115,Cabernet Sauvignon
Topic 115,Cabernet Sauvignon
Topic 115,Tempranillo Blend
Topic 115,Merlot
Topic 116,Chardonnay
Topic 116,Weissburgunder
Topic 116,Zinfandel
Topic 116,Sauvignon Blanc
Topic 116,Riesling
Topic 116,Sparkling Blend
Topic 116,Bordeaux-style White Blend
Topic 116,Syrah
Topic 116,Red Blend
Topic 116,Grenache
Topic 116,Grenache Blanc
Topic 116,Dolcetto
Topic 116,Chardonnay
Topic 116,Bordeaux-style Red Blend
Topic 116,Syrah
Topic 116,Bordeaux-style Red Blend
Topic 116,Chardonnay
Topic 116,White Blend
Topic 116,Riesling
Topic 116,Sauvignon Blanc
Topic 116,Gamay
Topic 116,Rosé
Topic 116,Riesling
Topic 116,Port
Topic 116,Viognier
Topic 117,Sangiovese
